"id","course_id","tee_id","par","length","slope_rating","slope_back","slope_front","bogey_rating","bogey_rating_back","bogey_rating_front","course_rating","course_rating_back","course_rating_front"
"26","1","senior","72","5709","113","115","115","87.5","43.4","44.1","66.6","33.2","33.4"
"30","1","forward","72","5451","113","111","111","97.3","49.1","48.2","70.7","35.6","35.1"
"28","1","regular","72","6385","121","124","124","92.1","45.7","46.4","69.6","34.7","34.9"
"29","1","professional","72","7360","126","129","129","98.7","48.7","50","75.4","37.4","38"
"27","1","skilled","72","6956","118","119","119","94.9","46.9","48","73","36.1","36.9"
"9","3","skilled","72","6887","119","115","115","94.3","47.5","46.8","72.3","36.2","36.1"
"8","3","senior","72","6343","119","115","115","91.8","46.4","45.4","69.8","35.1","34.7"
"12","3","beginner","72","5396","118","118","118","98.3","49.3","49","70.5","35.4","35.1"
"10","3","regular","72","6624","121","118","118","93.4","46.9","46.5","71","35.5","35.5"
"11","3","forward","72","5875","122","125","125","102","50.4","51.6","73.4","36.5","36.9"
"16","4","regular","72","6402","116","114","114","91.1","47.2","43.9","69.5","36.2","33.3"
"19","4","ladies","73","5699","123","117","117","101.2","53","48.2","72.2","37.8","34.4"
"18","4","ladies","71","5699","114","112","112","87.6","45.4","42.2","66.5","34.7","31.8"
"15","4","skilled","72","6618","122","116","116","93.8","48.8","45","71.1","36.9","34.2"
"14","4","senior","73","5952","124","118","118","102.7","53.9","48.8","73.5","38.6","34.9"
"17","4","professional","72","6878","128","119","119","95.8","49.9","45.9","72.1","37.3","34.8"
"13","4","senior","72","5941","116","112","112","88.8","46.4","42.4","67.3","35.3","32"
"20","5","skilled","73","6629","129","128","128","95.8","48.5","47.3","71.9","36.5","35.4"
"23","5","forward","74","5751","129","127","127","103.4","52.2","51.2","73.1","36.9","36.2"
"22","5","ladies","73","5751","115","112","112","88.6","44.7","43.9","67.3","33.8","33.5"
"21","5","regular","73","6433","126","124","124","94.3","47.9","46.4","70.9","36","34.9"
"4","6","regular","72","6203","123","117","117","92.6","46.6","46","69.7","34.6","35.1"
"5","6","professional","72","6714","124","118","118","95.6","48.4","47.2","72.5","36.3","36.2"
"1","6","senior","72","5742","122","119","119","89.8","45","44.8","67.2","33.5","33.7"
"2","6","senior","72","5742","125","122","122","102.5","51.4","51.1","73.1","36.4","36.7"
"3","6","skilled","72","6461","123","119","119","93.9","47","46.9","71.1","35.3","35.8"
"7","6","ladies","72","5389","121","119","119","99.3","49.5","49.8","70.8","35","35.8"
"6","6","ladies","72","5389","113","113","113","86.5","43","43.5","65.5","32.5","33"
"38","7","ladies","72","5670","114","116","116","87.8","43.8","44","66.6","33.4","33.2"
"39","7","forward","72","5670","126","126","126","101.7","50.8","50.9","72.2","36.1","36.1"
"35","7","senior","72","6261","124","124","124","92.5","46.2","46.3","69.6","34.8","34.8"
"37","7","regular","72","6608","126","126","126","94.7","47","47.7","71.4","35.4","36"
"36","7","skilled","72","7041","125","125","125","96.9","47.8","49.1","73.8","36.3","37.5"
"40","8","senior","72","6283","123","121","121","92.5","46.3","46.2","69.8","34.8","35"
"44","8","ladies","72","5596","125","123","123","101.2","50.9","50.3","71.9","36.1","35.8"
"42","8","regular","72","6625","127","127","127","95.2","47.7","47.5","71.7","36","35.7"
"41","8","skilled","72","7070","125","126","126","97.3","49","48.3","74.1","37.5","36.6"
"43","8","ladies","72","5596","115","113","113","87.5","44","43.5","66.2","33.2","33"
"25","10","forward","72","5787","123","120","120","102.2","51.7","50.5","73.3","37","36.3"
"24","10","regular","72","6369","115","117","117","91.8","45.9","45.9","70.5","35.5","35"
"33","11","forward","73","5698","129","127","127","103.6","52.4","51.2","73.2","37","36.2"
"32","11","professional","72","6611","134","142","142","96.4","47.3","49.1","71.5","35.6","35.9"
"34","11","skilled","72","7052","139","140","140","99.6","49.8","49.8","73.8","37","36.8"
"31","11","regular","72","6318","128","131","131","93.9","46.7","47.2","70.1","35.1","35"
"45","12","senior","72","5978","121","126","126","91","44.7","46.3","68.5","33.9","34.6"
"49","12","forward","72","5869","130","130","130","104","51.5","52.5","73.5","36.3","37.2"
"48","12","professional","72","7001","129","131","131","97.6","49.1","48.5","73.7","37.4","36.3"
"47","12","regular","72","6493","126","126","126","94.3","46.9","47.4","71","35.3","35.7"
"46","12","skilled","72","6694","126","127","127","95.4","47.5","47.9","72","35.9","36.1"
