id,course_id,hole_number,par,men_stroke_index,women_stroke_index
1,11,1,4,5,3
2,11,2,5,1,1
3,11,3,4,17,15
4,11,4,3,9,13
5,11,5,4,13,11
6,11,6,5,15,7
7,11,7,4,7,5
8,11,8,4,3,17
9,11,9,3,11,9
10,11,10,5,6,6
11,11,11,4,10,12
12,11,12,4,8,8
13,11,13,4,2,2
14,11,14,4,4,4
15,11,15,3,18,18
16,11,16,4,12,10
17,11,17,3,16,16
18,11,18,5,14,14
19,12,1,4,3,3
20,12,2,4,9,9
21,12,3,3,13,13
22,12,4,5,11,11
23,12,5,4,7,7
24,12,6,4,15,15
25,12,7,5,5,5
26,12,8,4,1,1
27,12,9,3,17,17
28,12,10,4,14,14
29,12,11,5,2,2
30,12,12,4,18,18
31,12,13,3,10,10
32,12,14,4,12,12
33,12,15,3,16,16
34,12,16,5,4,4
35,12,17,4,6,6
36,12,18,4,8,8
37,13,1,4,17,17
38,13,2,5,3,3
39,13,3,4,15,15
40,13,4,3,1,1
41,13,5,4,7,7
42,13,6,3,9,9
43,13,7,4,5,5
44,13,8,5,11,11
45,13,9,4,13,13
46,13,10,4,12,12
47,13,11,4,8,8
48,13,12,5,2,2
49,13,13,3,18,18
50,13,14,4,4,4
51,13,15,3,10,10
52,13,16,5,6,6
53,13,17,4,16,16
54,13,18,4,14,14
