,sel,course_id,,course_name,facility_id,,facility_name,,full_name,address1,address2,city,state,country,ent_country_code,ent_state_code,legacy_crp_course_id,telephone,email,ratings,state_display
1,1,28749,56,GOLF SAN SEBASTIAN,23595,56,GOLF SAN SEBASTIAN,56,GOLF SAN SEBASTIAN,AGUSTIN GARCIA 9501,None,BENAVIDEZ,AR-B,ARG,11,200052,48544,None,None,[],AR-B
2,1,26803,109,GOLF CLUB ARGENTINO,22169,109,GOLF CLUB ARGENTINO,109,GOLF CLUB ARGENTINO,"RUTA 8 KM. 41,500",None,JOSE C. PAZ,AR-B,ARG,11,200052,47399,None,None,[],AR-B
3,1,26821,113,HIGHLAND PARK COUNTRY CLUB,22175,113,HIGHLAND PARK COUNTRY CLUB,113,HIGHLAND PARK COUNTRY CLUB,AV LOS JAZMINES Y LAS CAMPANILLAS,None,DEL VISO,AR-B,ARG,11,200052,47418,None,None,[],AR-B
4,1,26832,120,LOS LAGARTOS COUNTRY CLUB (Agua - Larga),22177,120,LOS LAGARTOS COUNTRY CLUB,120,LOS LAGARTOS COUNTRY CLUB - 120,LOS LAGARTOS COUNTRY CLUB (Agua - Larga),"RUTA PANAM. KM 45,500 ACC. NORTE",PILAR,AR-B,ARG,11,200052,47428,None,None,[],AR-B
5,1,26853,122,RANELAGH GOLF CLUB,22181,122,RANELAGH GOLF CLUB,122,RANELAGH GOLF CLUB,AV. ESTE 901 Y CALLE 359,None,RANELAGH,AR-B,ARG,11,200052,47451,None,None,[],AR-B
6,1,26816,127,TORTUGAS COUNTRY CLUB,22171,127,TORTUGAS COUNTRY CLUB,127,TORTUGAS COUNTRY CLUB,"AU PANAM. KM 37,500 ACC. A PILAR",None,TORTUGUITAS,AR-B,ARG,11,200052,47412,None,None,[],AR-B
7,1,29047,132,CLUB C. DE G. LAS PRADERAS DE LUJAN (Betula - Lujan),23719,132,CLUB C. DE G. LAS PRADERAS DE LUJAN,132,CLUB C. DE G. LAS PRADERAS DE LUJAN - 132,CLUB C. DE G. LAS PRADERAS DE LUJAN (Betula - Lujan),"RUTA 192 KM. 6,500",LUJAN,AR-B,ARG,11,200052,48857,None,None,[],AR-B
8,1,29052,132,CLUB C. DE G. LAS PRADERAS DE LUJAN (Cañada - Betulas),23719,132,CLUB C. DE G. LAS PRADERAS DE LUJAN,132,CLUB C. DE G. LAS PRADERAS DE LUJAN - 132,CLUB C. DE G. LAS PRADERAS DE LUJAN (Cañada - Betulas),"RUTA 192 KM. 6,500",LUJAN,AR-B,ARG,11,200052,48862,None,None,[],AR-B
9,1,33846,135,CLUB NEWMAN,22204,135,CLUB NEWMAN,135,CLUB NEWMAN,AV DE LOS CONSTITUYENTES 7245,None,BENAVIDEZ,AR-B,ARG,11,200052,None,None,None,[],AR-B
10,1,28287,136,LARENA COUNTRY CLUB,23378,136,LARENA COUNTRY CLUB,136,LARENA COUNTRY CLUB,RUTA PROV. 6 KM 176,None,PILAR,AR-B,ARG,11,200052,47965,None,None,[],AR-B
11,1,28759,158,CAMPO DE GOLF LA ORQUIDEA,23602,158,CAMPO DE GOLF LA ORQUIDEA,158,CAMPO DE GOLF LA ORQUIDEA,600 M. DE RUTA 6 CNO.CAP. DEL SENOR,None,LOS CARDALES,AR-B,ARG,11,200052,48554,None,None,[],AR-B
12,1,29211,180,LA COLINA GOLF CLUB,23847,180,LA COLINA GOLF CLUB,180,LA COLINA GOLF CLUB,RUTA 6 RIO LUAN OPEN DOOR,None,LUJAN,AR-B,ARG,11,200052,49019,None,None,[],AR-B
